initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 91, G_loss: 0.31859, step_acc: 8.04671, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.31720, step_acc: 8.07221, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.31621, step_acc: 8.09050, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.31520, step_acc: 8.11335, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.31410, step_acc: 8.12949, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.31321, step_acc: 8.14622, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.31231, step_acc: 8.16523, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.31133, step_acc: 8.18471, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.31038, step_acc: 8.20802, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.30918, step_acc: 8.23649, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.30800, step_acc: 8.25589, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.30704, step_acc: 8.27406, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.30618, step_acc: 8.28605, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.30555, step_acc: 8.29791, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.30500, step_acc: 8.31221, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.30432, step_acc: 8.32804, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.30335, step_acc: 8.35422, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 108, G_loss: 0.30213, step_acc: 8.38467, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 109, G_loss: 0.30044, step_acc: 8.41751, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 110, G_loss: 0.29901, step_acc: 8.66049, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 111, G_loss: 0.29220, step_acc: 8.72141, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 112, G_loss: 0.28945, step_acc: 8.79567, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 113, G_loss: 0.28742, step_acc: 8.86041, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 114, G_loss: 0.28526, step_acc: 8.91457, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 115, G_loss: 0.28337, step_acc: 9.02336, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 116, G_loss: 0.28008, step_acc: 9.12914, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 117, G_loss: 0.27643, step_acc: 9.21730, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 118, G_loss: 0.27346, step_acc: 9.31173, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 119, G_loss: 0.27030, step_acc: 9.36673, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 120, G_loss: 0.26828, step_acc: 9.44359, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 121, G_loss: 0.26576, step_acc: 9.50142, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 122, G_loss: 0.26348, step_acc: 9.56306, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 123, G_loss: 0.26152, step_acc: 9.63255, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 124, G_loss: 0.25904, step_acc: 9.71089, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 125, G_loss: 0.25714, step_acc: 9.74438, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 126, G_loss: 0.25555, step_acc: 9.78850, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 127, G_loss: 0.25433, step_acc: 9.81097, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 128, G_loss: 0.25343, step_acc: 9.83329, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 129, G_loss: 0.25267, step_acc: 9.86263, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 130, G_loss: 0.25187, step_acc: 9.89103, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 131, G_loss: 0.25115, step_acc: 9.90419, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 132, G_loss: 0.25050, step_acc: 9.91804, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 133, G_loss: 0.24995, step_acc: 9.93976, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 134, G_loss: 0.24942, step_acc: 9.95355, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 135, G_loss: 0.24897, step_acc: 9.97604, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 136, G_loss: 0.24837, step_acc: 9.99343, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 137, G_loss: 0.24772, step_acc: 10.00954, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 138, G_loss: 0.24714, step_acc: 10.02692, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 139, G_loss: 0.24672, step_acc: 10.03407, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 140, G_loss: 0.24633, step_acc: 10.05197, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 141, G_loss: 0.24567, step_acc: 10.06192, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 142, G_loss: 0.24524, step_acc: 10.06927, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 143, G_loss: 0.24492, step_acc: 10.07876, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 144, G_loss: 0.24466, step_acc: 10.08361, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 145, G_loss: 0.24436, step_acc: 10.08652, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 146, G_loss: 0.24419, step_acc: 10.09758, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 147, G_loss: 0.24389, step_acc: 10.09893, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 148, G_loss: 0.24363, step_acc: 10.10733, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 149, G_loss: 0.24345, step_acc: 10.11022, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 150, G_loss: 0.24320, step_acc: 10.11945, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 151, G_loss: 0.24305, step_acc: 10.11837, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 152, G_loss: 0.24288, step_acc: 10.12550, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 153, G_loss: 0.24272, step_acc: 10.12675, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 154, G_loss: 0.24259, step_acc: 10.13085, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 155, G_loss: 0.24248, step_acc: 10.13921, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 156, G_loss: 0.24235, step_acc: 10.13727, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 157, G_loss: 0.24226, step_acc: 10.15152, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 158, G_loss: 0.24224, step_acc: 10.14515, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 159, G_loss: 0.24206, step_acc: 10.15512, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 160, G_loss: 0.24199, step_acc: 10.15047, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 161, G_loss: 0.24191, step_acc: 10.16247, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 162, G_loss: 0.24178, step_acc: 10.15836, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 163, G_loss: 0.24159, step_acc: 10.17043, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 164, G_loss: 0.24146, step_acc: 10.16667, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 165, G_loss: 0.24137, step_acc: 10.32587, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 166, G_loss: 0.23756, step_acc: 10.31902, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 167, G_loss: 0.23739, step_acc: 10.36253, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 168, G_loss: 0.23634, step_acc: 10.36659, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 169, G_loss: 0.23580, step_acc: 10.39215, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 170, G_loss: 0.23531, step_acc: 10.40521, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 171, G_loss: 0.23475, step_acc: 10.43604, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 172, G_loss: 0.23389, step_acc: 10.45992, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 173, G_loss: 0.23332, step_acc: 10.47341, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 174, G_loss: 0.23280, step_acc: 10.49247, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 175, G_loss: 0.23219, step_acc: 10.51916, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 176, G_loss: 0.23128, step_acc: 10.54453, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 177, G_loss: 0.23060, step_acc: 10.55737, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 178, G_loss: 0.22986, step_acc: 10.57664, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 179, G_loss: 0.22935, step_acc: 10.58571, grid_scale: 1 / 5, strokes: 4 / 9
