initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 78, G_loss: 0.49570, step_acc: 4.81156, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.49316, step_acc: 4.84514, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.49043, step_acc: 4.86485, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.48837, step_acc: 4.88179, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.48664, step_acc: 4.90016, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.48494, step_acc: 4.92729, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.48255, step_acc: 4.94777, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.48063, step_acc: 4.96574, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.47910, step_acc: 4.97581, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.47805, step_acc: 4.98146, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.47734, step_acc: 4.98426, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.47672, step_acc: 4.98944, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.47611, step_acc: 4.99562, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.47559, step_acc: 5.00789, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.47477, step_acc: 5.01989, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.47385, step_acc: 5.04336, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.47237, step_acc: 5.04995, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.47155, step_acc: 5.05906, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.47077, step_acc: 5.07439, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.46976, step_acc: 5.08660, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.46891, step_acc: 5.09462, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.46837, step_acc: 5.09540, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.46804, step_acc: 5.10029, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.46761, step_acc: 5.10681, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.46709, step_acc: 5.11745, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.46637, step_acc: 5.12985, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.46548, step_acc: 5.14031, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.46463, step_acc: 5.14626, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.46398, step_acc: 5.14972, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.46366, step_acc: 5.15149, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 108, G_loss: 0.46338, step_acc: 5.15664, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 109, G_loss: 0.46298, step_acc: 5.15988, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 110, G_loss: 0.46260, step_acc: 5.18087, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 111, G_loss: 0.46050, step_acc: 5.19389, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 112, G_loss: 0.45959, step_acc: 5.22116, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 113, G_loss: 0.45725, step_acc: 5.22723, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 114, G_loss: 0.45599, step_acc: 5.24499, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 115, G_loss: 0.45474, step_acc: 5.26691, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 116, G_loss: 0.45294, step_acc: 5.31255, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 117, G_loss: 0.45036, step_acc: 5.33194, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 118, G_loss: 0.44898, step_acc: 5.34706, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 119, G_loss: 0.44803, step_acc: 5.38378, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 120, G_loss: 0.44585, step_acc: 5.40760, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 121, G_loss: 0.44402, step_acc: 5.43546, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 122, G_loss: 0.44219, step_acc: 5.45262, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 123, G_loss: 0.44055, step_acc: 5.46687, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 124, G_loss: 0.43927, step_acc: 5.48457, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 125, G_loss: 0.43807, step_acc: 5.50426, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 126, G_loss: 0.43672, step_acc: 5.52717, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 127, G_loss: 0.43520, step_acc: 5.55869, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 128, G_loss: 0.43323, step_acc: 5.60383, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 129, G_loss: 0.43055, step_acc: 5.63954, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 130, G_loss: 0.42818, step_acc: 5.70164, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 131, G_loss: 0.42461, step_acc: 5.73697, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 132, G_loss: 0.42220, step_acc: 5.78630, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 133, G_loss: 0.41913, step_acc: 5.83005, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 134, G_loss: 0.41584, step_acc: 5.86333, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 135, G_loss: 0.41365, step_acc: 5.88994, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 136, G_loss: 0.41186, step_acc: 5.90500, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 137, G_loss: 0.41049, step_acc: 5.91474, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 138, G_loss: 0.40956, step_acc: 5.92417, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 139, G_loss: 0.40837, step_acc: 5.93587, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 140, G_loss: 0.40755, step_acc: 5.95163, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 141, G_loss: 0.40635, step_acc: 5.96462, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 142, G_loss: 0.40548, step_acc: 5.97719, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 143, G_loss: 0.40440, step_acc: 5.98611, grid_scale: 1 / 5, strokes: 3 / 9
