initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 87, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 108, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 109, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 110, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 111, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 112, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 113, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 114, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 115, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 116, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 117, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 118, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 119, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 120, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 121, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 122, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 123, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 124, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 125, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 126, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 127, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 128, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 129, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 130, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 131, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 132, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 133, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 134, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 135, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 136, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 137, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 138, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 139, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 140, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 141, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 142, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 143, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 144, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 145, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 146, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 147, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 148, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 3 / 9
