initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 118, G_loss: 0.40128, step_acc: 6.03721, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 119, G_loss: 0.39575, step_acc: 6.14056, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 120, G_loss: 0.39052, step_acc: 6.23717, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 121, G_loss: 0.38538, step_acc: 6.34693, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 122, G_loss: 0.37950, step_acc: 6.49634, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 123, G_loss: 0.37233, step_acc: 6.60342, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 124, G_loss: 0.36651, step_acc: 6.67147, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 125, G_loss: 0.36301, step_acc: 6.72336, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 126, G_loss: 0.36066, step_acc: 6.74996, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 127, G_loss: 0.35907, step_acc: 6.76970, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 128, G_loss: 0.35780, step_acc: 6.78567, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 129, G_loss: 0.35687, step_acc: 6.80136, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 130, G_loss: 0.35558, step_acc: 6.82144, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 131, G_loss: 0.35440, step_acc: 6.83277, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 132, G_loss: 0.35353, step_acc: 6.84568, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 133, G_loss: 0.35278, step_acc: 6.85476, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 134, G_loss: 0.35205, step_acc: 6.85981, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 135, G_loss: 0.35157, step_acc: 6.86920, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 136, G_loss: 0.35100, step_acc: 6.87753, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 137, G_loss: 0.35051, step_acc: 6.88543, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 138, G_loss: 0.34989, step_acc: 6.90099, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 139, G_loss: 0.34911, step_acc: 6.92064, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 140, G_loss: 0.34818, step_acc: 6.94051, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 141, G_loss: 0.34719, step_acc: 6.96012, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 142, G_loss: 0.34625, step_acc: 6.98511, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 143, G_loss: 0.34527, step_acc: 6.99126, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 144, G_loss: 0.34474, step_acc: 7.00393, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 145, G_loss: 0.34419, step_acc: 7.01503, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 146, G_loss: 0.34351, step_acc: 7.02610, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 147, G_loss: 0.34296, step_acc: 7.02759, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 148, G_loss: 0.34244, step_acc: 7.04093, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 149, G_loss: 0.34183, step_acc: 7.03914, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 150, G_loss: 0.34146, step_acc: 7.05157, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 151, G_loss: 0.34097, step_acc: 7.04515, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 152, G_loss: 0.34075, step_acc: 7.05878, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 153, G_loss: 0.34030, step_acc: 7.06006, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 154, G_loss: 0.33996, step_acc: 7.06776, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 155, G_loss: 0.33961, step_acc: 7.06942, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 156, G_loss: 0.33930, step_acc: 7.07473, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 157, G_loss: 0.33904, step_acc: 7.07554, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 158, G_loss: 0.33877, step_acc: 7.08119, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 159, G_loss: 0.33859, step_acc: 7.08219, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 160, G_loss: 0.33829, step_acc: 7.08739, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 161, G_loss: 0.33810, step_acc: 7.08763, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 162, G_loss: 0.33786, step_acc: 7.09181, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 163, G_loss: 0.33773, step_acc: 7.09393, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 164, G_loss: 0.33735, step_acc: 7.10038, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 165, G_loss: 0.33713, step_acc: 7.04933, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 166, G_loss: 0.33866, step_acc: 7.04629, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 167, G_loss: 0.33869, step_acc: 7.06197, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 168, G_loss: 0.33773, step_acc: 7.07663, grid_scale: 1 / 5, strokes: 4 / 9
