initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 138, G_loss: 0.30921, step_acc: 7.74586, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 139, G_loss: 0.30793, step_acc: 7.76160, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 140, G_loss: 0.30687, step_acc: 7.78452, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 141, G_loss: 0.30589, step_acc: 7.79377, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 142, G_loss: 0.30498, step_acc: 7.81669, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 143, G_loss: 0.30391, step_acc: 7.84533, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 144, G_loss: 0.30261, step_acc: 7.87863, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 145, G_loss: 0.30115, step_acc: 7.90344, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 146, G_loss: 0.30013, step_acc: 7.91586, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 147, G_loss: 0.29926, step_acc: 7.94274, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 148, G_loss: 0.29816, step_acc: 8.00448, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 149, G_loss: 0.29556, step_acc: 8.04625, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 150, G_loss: 0.29415, step_acc: 8.07743, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 151, G_loss: 0.29291, step_acc: 8.10131, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 152, G_loss: 0.29184, step_acc: 8.12801, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 153, G_loss: 0.29053, step_acc: 8.17614, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 154, G_loss: 0.28870, step_acc: 8.20458, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 155, G_loss: 0.28732, step_acc: 8.25030, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 156, G_loss: 0.28564, step_acc: 8.29284, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 157, G_loss: 0.28402, step_acc: 8.30995, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 158, G_loss: 0.28311, step_acc: 8.33871, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 159, G_loss: 0.28199, step_acc: 8.35172, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 160, G_loss: 0.28112, step_acc: 8.37779, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 161, G_loss: 0.28028, step_acc: 8.41023, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 162, G_loss: 0.27908, step_acc: 8.43344, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 163, G_loss: 0.27808, step_acc: 8.45496, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 164, G_loss: 0.27718, step_acc: 8.47187, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 165, G_loss: 0.27624, step_acc: 8.51420, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 166, G_loss: 0.27330, step_acc: 8.61313, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 167, G_loss: 0.26905, step_acc: 8.67132, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 168, G_loss: 0.26640, step_acc: 8.71047, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 169, G_loss: 0.26458, step_acc: 8.73767, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 170, G_loss: 0.26317, step_acc: 8.77129, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 171, G_loss: 0.26197, step_acc: 8.80852, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 172, G_loss: 0.26057, step_acc: 8.84618, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 173, G_loss: 0.25918, step_acc: 8.87669, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 174, G_loss: 0.25795, step_acc: 8.90456, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 175, G_loss: 0.25703, step_acc: 8.93644, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 176, G_loss: 0.25582, step_acc: 9.02245, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 177, G_loss: 0.25270, step_acc: 9.07615, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 178, G_loss: 0.25058, step_acc: 9.12230, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 179, G_loss: 0.24877, step_acc: 9.14538, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 180, G_loss: 0.24743, step_acc: 9.16345, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 181, G_loss: 0.24662, step_acc: 9.17713, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 182, G_loss: 0.24583, step_acc: 9.19053, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 183, G_loss: 0.24505, step_acc: 9.22168, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 184, G_loss: 0.24338, step_acc: 9.25675, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 185, G_loss: 0.24184, step_acc: 9.28145, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 186, G_loss: 0.24093, step_acc: 9.29817, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 187, G_loss: 0.24031, step_acc: 9.29830, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 188, G_loss: 0.23995, step_acc: 9.31714, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 189, G_loss: 0.23954, step_acc: 9.31351, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 190, G_loss: 0.23915, step_acc: 9.34573, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 191, G_loss: 0.23843, step_acc: 9.36835, grid_scale: 1 / 5, strokes: 4 / 9
